airport_ID,airport_abb,airport_name
1,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
2,ABI,"Abilene, TX: Abilene Regional"
3,ABQ,"Albuquerque, NM: Albuquerque International Sunport"
4,ABR,"Aberdeen, SD: Aberdeen Regional"
5,ABY,"Albany, GA: Southwest Georgia Regional"
6,ACK,"Nantucket, MA: Nantucket Memorial"
7,ACT,"Waco, TX: Waco Regional"
8,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
9,ACY,"Atlantic City, NJ: Atlantic City International"
10,ADK,"Adak Island, AK: Adak"
11,ADQ,"Kodiak, AK: Kodiak Airport"
12,AEX,"Alexandria, LA: Alexandria International"
13,AGS,"Augusta, GA: Augusta Regional at Bush Field"
14,AKN,"King Salmon, AK: King Salmon Airport"
15,ALB,"Albany, NY: Albany International"
16,ALO,"Waterloo, IA: Waterloo Regional"
17,ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
18,ALW,"Walla Walla, WA: Walla Walla Regional"
19,AMA,"Amarillo, TX: Rick Husband Amarillo International"
20,ANC,"Anchorage, AK: Ted Stevens Anchorage International"
21,APN,"Alpena, MI: Alpena County Regional"
22,ART,"Watertown, NY: Watertown International"
23,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
24,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
25,ATW,"Appleton, WI: Appleton International"
26,ATY,"Watertown, SD: Watertown Regional"
27,AUS,"Austin, TX: Austin - Bergstrom International"
28,AVL,"Asheville, NC: Asheville Regional"
29,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
30,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway"
31,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
32,BDL,"Hartford, CT: Bradley International"
33,BET,"Bethel, AK: Bethel Airport"
34,BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
35,BFL,"Bakersfield, CA: Meadows Field"
36,BFM,"Mobile, AL: Mobile Downtown"
37,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
38,BGR,"Bangor, ME: Bangor International"
39,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
40,BIH,"Bishop, CA: Bishop Airport"
41,BIL,"Billings, MT: Billings Logan International"
42,BIS,"Bismarck/Mandan, ND: Bismarck Municipal"
43,BJI,"Bemidji, MN: Bemidji Regional"
44,BKG,"Branson, MO: Branson Airport"
45,BLI,"Bellingham, WA: Bellingham International"
46,BLV,"Belleville, IL: Scott AFB/MidAmerica"
47,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington"
48,BNA,"Nashville, TN: Nashville International"
49,BOI,"Boise, ID: Boise Air Terminal"
50,BOS,"Boston, MA: Logan International"
51,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
52,BQK,"Brunswick, GA: Brunswick Golden Isles"
53,BQN,"Aguadilla, PR: Rafael Hernandez"
54,BRD,"Brainerd, MN: Brainerd Lakes Regional"
55,BRO,"Brownsville, TX: Brownsville South Padre Island International"
56,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial"
57,BTM,"Butte, MT: Bert Mooney"
58,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
59,BTV,"Burlington, VT: Burlington International"
60,BUF,"Buffalo, NY: Buffalo Niagara International"
61,BUR,"Burbank, CA: Bob Hope"
62,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
63,BZN,"Bozeman, MT: Bozeman Yellowstone International"
64,CAE,"Columbia, SC: Columbia Metropolitan"
65,CAK,"Akron, OH: Akron-Canton Regional"
66,CDB,"Cold Bay, AK: Cold Bay Airport"
67,CDC,"Cedar City, UT: Cedar City Regional"
68,CDV,"Cordova, AK: Merle K Mudhole Smith"
69,CGI,"Cape Girardeau, MO: Cape Girardeau Regional"
70,CHA,"Chattanooga, TN: Lovell Field"
71,CHO,"Charlottesville, VA: Charlottesville Albemarle"
72,CHS,"Charleston, SC: Charleston AFB/International"
73,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
74,CIU,"Sault Ste. Marie, MI: Chippewa County International"
75,CKB,"Clarksburg/Fairmont, WV: North Central West Virginia"
76,CLE,"Cleveland, OH: Cleveland-Hopkins International"
77,CLL,"College Station/Bryan, TX: Easterwood Field"
78,CLT,"Charlotte, NC: Charlotte Douglas International"
79,CMI,"Champaign/Urbana, IL: University of Illinois/Willard"
80,CMX,"Hancock/Houghton, MI: Houghton County Memorial"
81,CNY,"Moab, UT: Canyonlands Field"
82,COD,"Cody, WY: Yellowstone Regional"
83,COS,"Colorado Springs, CO: City of Colorado Springs Municipal"
84,COU,"Columbia, MO: Columbia Regional"
85,CPR,"Casper, WY: Casper/Natrona County International"
86,CRP,"Corpus Christi, TX: Corpus Christi International"
87,CRW,"Charleston/Dunbar, WV: Yeager"
88,CSG,"Columbus, GA: Columbus Airport"
89,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
90,CWA,"Mosinee, WI: Central Wisconsin"
91,CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field"
92,DAB,"Daytona Beach, FL: Daytona Beach International"
93,DAL,"Dallas, TX: Dallas Love Field"
94,DAY,"Dayton, OH: James M Cox/Dayton International"
95,DBQ,"Dubuque, IA: Dubuque Regional"
96,DCA,"Washington, DC: Ronald Reagan Washington National"
97,DDC,"Dodge City, KS: Dodge City Regional"
98,DEC,"Decatur, IL: Decatur Airport"
99,DEN,"Denver, CO: Denver International"
100,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
101,DHN,"Dothan, AL: Dothan Regional"
102,DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional"
103,DLG,"Dillingham, AK: Dillingham Airport"
104,DLH,"Duluth, MN: Duluth International"
105,DRO,"Durango, CO: Durango La Plata County"
106,DRT,"Del Rio, TX: Del Rio International"
107,DSM,"Des Moines, IA: Des Moines International"
108,DTW,"Detroit, MI: Detroit Metro Wayne County"
109,DVL,"Devils Lake, ND: Devils Lake Regional"
110,EAR,"Kearney, NE: Kearney Regional"
111,EAT,"Wenatchee, WA: Pangborn Memorial"
112,EAU,"Eau Claire, WI: Chippewa Valley Regional"
113,ECP,"Panama City, FL: Northwest Florida Beaches International"
114,EGE,"Eagle, CO: Eagle County Regional"
115,EKO,"Elko, NV: Elko Regional"
116,ELM,"Elmira/Corning, NY: Elmira/Corning Regional"
117,ELP,"El Paso, TX: El Paso International"
118,ERI,"Erie, PA: Erie International/Tom Ridge Field"
119,ESC,"Escanaba, MI: Delta County"
120,EUG,"Eugene, OR: Mahlon Sweet Field"
121,EVV,"Evansville, IN: Evansville Regional"
122,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
123,EWR,"Newark, NJ: Newark Liberty International"
124,EYW,"Key West, FL: Key West International"
125,FAI,"Fairbanks, AK: Fairbanks International"
126,FAR,"Fargo, ND: Hector International"
127,FAT,"Fresno, CA: Fresno Yosemite International"
128,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
129,FCA,"Kalispell, MT: Glacier Park International"
130,FLG,"Flagstaff, AZ: Flagstaff Pulliam"
131,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
132,FNL,"Fort Collins/Loveland, CO: Northern Colorado Regional"
133,FNT,"Flint, MI: Bishop International"
134,FOD,"Fort Dodge, IA: Fort Dodge Regional"
135,FSD,"Sioux Falls, SD: Joe Foss Field"
136,FSM,"Fort Smith, AR: Fort Smith Regional"
137,FWA,"Fort Wayne, IN: Fort Wayne International"
138,GCC,"Gillette, WY: Gillette Campbell County"
139,GCK,"Garden City, KS: Garden City Regional"
140,GEG,"Spokane, WA: Spokane International"
141,GFK,"Grand Forks, ND: Grand Forks International"
142,GGG,"Longview, TX: East Texas Regional"
143,GJT,"Grand Junction, CO: Grand Junction Regional"
144,GNV,"Gainesville, FL: Gainesville Regional"
145,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
146,GRB,"Green Bay, WI: Green Bay Austin Straubel International"
147,GRI,"Grand Island, NE: Central Nebraska Regional"
148,GRK,"Killeen, TX: Robert Gray AAF"
149,GRR,"Grand Rapids, MI: Gerald R. Ford International"
150,GSO,"Greensboro/High Point, NC: Piedmont Triad International"
151,GSP,"Greer, SC: Greenville-Spartanburg International"
152,GST,"Gustavus, AK: Gustavus Airport"
153,GTF,"Great Falls, MT: Great Falls International"
154,GTR,"Columbus, MS: Golden Triangle Regional"
155,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional"
156,GUM,"Guam, TT: Guam International"
157,HDN,"Hayden, CO: Yampa Valley"
158,HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
159,HHH,"Hilton Head, SC: Hilton Head Airport"
160,HIB,"Hibbing, MN: Range Regional"
161,HLN,"Helena, MT: Helena Regional"
162,HNL,"Honolulu, HI: Daniel K Inouye International"
163,HOB,"Hobbs, NM: Lea County Regional"
164,HOU,"Houston, TX: William P Hobby"
165,HPN,"White Plains, NY: Westchester County"
166,HRL,"Harlingen/San Benito, TX: Valley International"
167,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field"
168,HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field"
169,HVN,"New Haven, CT: Tweed New Haven"
170,HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field"
171,HYS,"Hays, KS: Hays Regional"
172,IAD,"Washington, DC: Washington Dulles International"
173,IAG,"Niagara Falls, NY: Niagara Falls International"
174,IAH,"Houston, TX: George Bush Intercontinental/Houston"
175,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National"
176,IDA,"Idaho Falls, ID: Idaho Falls Regional"
177,IFP,"Bullhead City, AZ: Laughlin/Bullhead International"
178,ILG,"Wilmington, DE: New Castle"
179,ILM,"Wilmington, NC: Wilmington International"
180,IMT,"Iron Mountain/Kingsfd, MI: Ford"
181,IND,"Indianapolis, IN: Indianapolis International"
182,INL,"International Falls, MN: Falls International Einarson Field"
183,IPT,"Williamsport, PA: Williamsport Regional"
184,ISN,"Williston, ND: Sloulin Field International"
185,ISP,"Islip, NY: Long Island MacArthur"
186,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional"
187,ITO,"Hilo, HI: Hilo International"
188,JAC,"Jackson, WY: Jackson Hole"
189,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
190,JAX,"Jacksonville, FL: Jacksonville International"
191,JFK,"New York, NY: John F. Kennedy International"
192,JLN,"Joplin, MO: Joplin Regional"
193,JMS,"Jamestown, ND: Jamestown Regional"
194,JNU,"Juneau, AK: Juneau International"
195,JST,"Johnstown, PA: John Murtha Johnstown-Cambria County"
196,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole"
197,KTN,"Ketchikan, AK: Ketchikan International"
198,LAN,"Lansing, MI: Capital Region International"
199,LAR,"Laramie, WY: Laramie Regional"
200,LAS,"Las Vegas, NV: McCarran International"
201,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
202,LAX,"Los Angeles, CA: Los Angeles International"
203,LBB,"Lubbock, TX: Lubbock Preston Smith International"
204,LBE,"Latrobe, PA: Arnold Palmer Regional"
205,LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
206,LBL,"Liberal, KS: Liberal Mid-America Regional"
207,LCH,"Lake Charles, LA: Lake Charles Regional"
208,LCK,"Columbus, OH: Rickenbacker International"
209,LEX,"Lexington, KY: Blue Grass"
210,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
211,LGA,"New York, NY: LaGuardia"
212,LGB,"Long Beach, CA: Long Beach Airport"
213,LIH,"Lihue, HI: Lihue Airport"
214,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
215,LNK,"Lincoln, NE: Lincoln Airport"
216,LRD,"Laredo, TX: Laredo International"
217,LSE,"La Crosse, WI: La Crosse Regional"
218,LWB,"Lewisburg, WV: Greenbrier Valley"
219,LWS,"Lewiston, ID: Lewiston Nez Perce County"
220,LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
221,MAF,"Midland/Odessa, TX: Midland International Air and Space Port"
222,MBS,"Saginaw/Bay City/Midland, MI: MBS International"
223,MCI,"Kansas City, MO: Kansas City International"
224,MCO,"Orlando, FL: Orlando International"
225,MCW,"Mason City, IA: Mason City Municipal"
226,MDT,"Harrisburg, PA: Harrisburg International"
227,MDW,"Chicago, IL: Chicago Midway International"
228,MEI,"Meridian, MS: Key Field"
229,MEM,"Memphis, TN: Memphis International"
230,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
231,MFR,"Medford, OR: Rogue Valley International - Medford"
232,MGM,"Montgomery, AL: Montgomery Regional"
233,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional"
234,MHT,"Manchester, NH: Manchester-Boston Regional"
235,MIA,"Miami, FL: Miami International"
236,MKE,"Milwaukee, WI: General Mitchell International"
237,MKG,"Muskegon, MI: Muskegon County"
238,MLB,"Melbourne, FL: Melbourne International"
239,MLI,"Moline, IL: Quad City International"
240,MLU,"Monroe, LA: Monroe Regional"
241,MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport"
242,MOB,"Mobile, AL: Mobile Regional"
243,MOT,"Minot, ND: Minot International"
244,MQT,"Marquette, MI: Sawyer International"
245,MRY,"Monterey, CA: Monterey Regional"
246,MSN,"Madison, WI: Dane County Regional-Truax Field"
247,MSO,"Missoula, MT: Missoula International"
248,MSP,"Minneapolis, MN: Minneapolis-St Paul International"
249,MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
250,MTJ,"Montrose/Delta, CO: Montrose Regional"
251,MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport"
252,MYR,"Myrtle Beach, SC: Myrtle Beach International"
253,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
254,OAK,"Oakland, CA: Metropolitan Oakland International"
255,OGD,"Ogden, UT: Ogden-Hinckley"
256,OGG,"Kahului, HI: Kahului Airport"
257,OGS,"Ogdensburg, NY: Ogdensburg International"
